timestamp;file;line;type_evenement;message
2025-09-19 12:00:02;questions.csv;;READ_OK;76 rows to process
2025-09-19 12:00:02;questions.csv;1;QUESTION_OK;count=3 correct=1 q='Que signifie le sigle No-SQL ?'
2025-09-19 12:00:02;questions.csv;2;QUESTION_OK;count=4 correct=1 q='Cassandra et HBase sont des bases de données'
2025-09-19 12:00:02;questions.csv;3;QUESTION_OK;count=4 correct=1 q='MongoDB et CouchDB sont des bases de données'
2025-09-19 12:00:02;questions.csv;4;QUESTION_OK;count=4 correct=1 q='OrientDB et Neo4J sont des bases de données'
2025-09-19 12:00:02;questions.csv;5;QUESTION_OK;count=3 correct=1 q='Pour indexer des données textuelles, je peux utiliser'
2025-09-19 12:00:02;questions.csv;6;QUESTION_OK;count=4 correct=1 q='A quoi faire attention lorsqu'on choisit un système de base de données ?'
2025-09-19 12:00:02;questions.csv;7;QUESTION_OK;count=3 correct=1 q='Quels sont les trois éléments constitutifs de Hadoop ?'
2025-09-19 12:00:02;questions.csv;8;QUESTION_OK;"count=3 correct=1 q='Lors de l'étape de Map d'un wordcount appliqué à la phrase ""cette phrase est une phrase"", les valeurs émises sont:'"
2025-09-19 12:00:02;questions.csv;9;QUESTION_OK;count=3 correct=1 q='Dans Hadoop, les combiners permettent'
2025-09-19 12:00:02;questions.csv;10;QUESTION_OK;count=3 correct=1 q='Dans Hadoop, les partitioners permettent'
2025-09-19 12:00:02;questions.csv;11;QUESTION_OK;count=3 correct=1 q='Le théorème CAP oppose'
2025-09-19 12:00:02;questions.csv;12;QUESTION_OK;count=3 correct=1 q='Hive permet'
2025-09-19 12:00:02;questions.csv;13;QUESTION_OK;count=4 correct=1 q='Spark se différencie de Hadoop par'
2025-09-19 12:00:02;questions.csv;14;QUESTION_OK;count=2 correct=1 q='Un système de messagerie asynchrone permet de décorréler les consommateurs et les producteurs'
2025-09-19 12:00:02;questions.csv;15;QUESTION_OK;count=4 correct=1 q='Kafka est système de messagerie'
2025-09-19 12:00:02;questions.csv;16;QUESTION_OK;count=4 correct=1 q='L'architecture lambda présente les couches'
2025-09-19 12:00:02;questions.csv;17;QUESTION_OK;count=3 correct=1 q='Docker est utilisé'
2025-09-19 12:00:02;questions.csv;18;QUESTION_OK;count=3 correct=1 q='Docker permet de persister des changements'
2025-09-19 12:00:02;questions.csv;19;QUESTION_OK;count=3 correct=1 q='Des containers Docker peuvent communiquer entre eux grâce à'
2025-09-19 12:00:03;questions.csv;20;QUESTION_OK;count=3 correct=1 q='DockerHub est'
2025-09-19 12:00:03;questions.csv;21;QUESTION_OK;count=3 correct=1 q='Docker-compose est'
2025-09-19 12:00:03;questions.csv;22;QUESTION_OK;count=3 correct=1 q='Lequel de ces problème est un problème de classification:'
2025-09-19 12:00:03;questions.csv;23;QUESTION_OK;count=6 correct=3 q='Lequel de ces problème est un problème de classification'
